seed,status,wall_s,success,dist,fell_at,rmse_mm,tstep_mean,wob_pic,grf_pic,mkbrk,ctrl_mean,ctrl_p99,e_mech,e_sq,cot
32,ok,36.78881239891052,True,3.749008250135289,-1.0,58.47439051915667,0.35202857142868116,50.34732527490183,4325.146993291584,3.4714285714285715,1.134718036442095,2.418268020264803,5761.078701024787,624687.8519308529,1.6663867852657213
33,ok,35.325430393218994,True,3.765364390109681,-1.0,55.58845519617505,0.3364714285715193,49.14385852239483,5386.480445321253,3.1,1.1330759470517975,2.408705948619171,5192.932600675452,608041.5820059633,1.4955263722087193
34,ok,34.47394371032715,True,3.6097545699462206,-1.0,54.99479442321215,0.32954285714293935,53.80246920967628,4665.79069824302,3.4571428571428573,1.1274927466818645,2.419570030178874,5186.665503198037,591674.9211012765,1.5581130556754954
35,ok,35.04957628250122,True,3.396290393798561,-1.0,54.69647613471273,0.3354142857143751,57.2261487366325,3881.440506608205,3.3714285714285714,1.1262440664414168,2.5310000346507877,5679.117498710044,606491.9126501144,1.8132781920152765
36,ok,34.73954486846924,True,3.6045515016018292,-1.0,52.85032621945237,0.3299142857143684,49.42278888573155,4067.0848413143635,3.357142857142857,1.1353980460418802,2.58233998902142,5784.556500856692,595479.1867200744,1.740232332449272
37,ok,33.409560203552246,True,3.409287629063672,-1.0,48.27091892435469,0.3143428571429208,50.467107070890606,6726.615519217716,3.4571428571428573,1.1406032180408079,2.4632499553263187,5532.124372472692,566255.9184280323,1.7596111029872687
38,ok,33.7572557926178,True,3.3273132876368314,-1.0,49.43226013061194,0.320242857142928,50.03956156330162,4246.150992903889,3.0714285714285716,1.1320193145642454,2.3889099864754795,5384.567443176232,556469.7955206771,1.7548723353305646
39,ok,39.01694464683533,True,3.9522405619353873,-1.0,60.554177131430286,0.36088571428583477,45.863112156755804,4064.867095797158,3.342857142857143,1.1754642383897789,2.88657998666167,5267.68686368331,637682.9698395424,1.4453232218213066
40,ok,34.57223844528198,True,3.4173526019221963,-1.0,57.109950101091556,0.33015714285722586,50.483486070186906,4833.083122039816,3.414285714285714,1.1241445770560885,2.4127859785221517,5603.407841638842,584252.8339235721,1.7780781411681477
41,ok,36.03180718421936,True,3.7560018063584253,-1.0,57.504669567101224,0.3344857142858026,49.95773256699786,4063.9152055582185,3.4,1.1637757668820823,2.4625600082799814,5219.076494547156,605828.5196959309,1.5068022872069573
42,ok,35.342479944229126,True,3.4554958603909087,-1.0,52.04142847691174,0.33432857142865946,50.20369565354096,5653.375848656802,3.5428571428571427,1.1385894610424592,2.4690549983642986,5765.408255622784,587684.2206663641,1.8092896115346766
43,ok,35.91571879386902,True,3.2681523659886005,-1.0,61.8390813722877,0.34442857142867184,44.73345705797536,4062.7091428776466,3.342857142857143,1.128442920666284,2.3282520333304957,5754.085155996352,597432.0795678612,1.9092482008892862
44,ok,34.7582106590271,True,3.683128850610597,-1.0,54.551808115465114,0.3388714285715222,47.218692310989375,4064.508552231729,3.257142857142857,1.1043720225865297,2.3453650472220025,4920.133729115121,605105.4343495915,1.4485997153898098
45,ok,34.80583643913269,True,3.483966393686245,-1.0,55.035723510474924,0.34202857142866894,51.17437430096082,4216.133712217673,3.1714285714285713,1.097482260634186,2.3027679556980716,5515.028016807313,597006.7743783159,1.7165725637961415
46,ok,34.15490365028381,True,3.4730414793557016,-1.0,59.11713738402736,0.33007142857151145,46.651026572110325,4441.2709782060065,3.8285714285714287,1.1149211188389836,2.4268960289191446,4977.047478825787,582484.50060632,1.553997137540421
47,ok,37.277101039886475,True,3.7864886272689353,-1.0,53.63091949854968,0.34825714285724796,54.879108095709206,4067.861059938687,3.2,1.1642553413300438,2.4777560075744978,5314.000619443119,616858.0815827639,1.5218552432755166
48,ok,16.492359399795532,False,1.576647009952766,11.874999999998858,118.17570429611953,0.33076470588232226,46.817009258378164,4059.9902650434406,3.2941176470588234,1.1624221642648702,2.4191600270569324,2421.269881466978,297670.92753927025,1.6653178198161813
49,ok,92.36586499214172,True,3.719635521878499,-1.0,56.15270244897854,0.33637142857151914,43.60072125118938,4063.7587452011153,3.3,3.03651176978813,9.036080003716044,4934.931288849858,601576.5458314803,1.4386962932529823
