mag,dir,seed,status,wall_s,applied,eligible,recovered,xi_max_post,t_reband,n_recov_post,dist,fell_at,success
100.0,-x,7,ok,50.82720351219177,True,True,True,0.18998099585554626,0.0,12.0,3.6962832329667137,-1.0,True
100.0,-x,8,ok,50.043901681900024,True,True,True,0.28824033728263654,0.0,13.0,3.722142214937515,-1.0,True
100.0,-x,9,ok,60.557528495788574,True,True,True,0.19710512776610017,0.276,14.0,3.6572408977822897,-1.0,True
150.0,-x,0,ok,51.617311000823975,True,True,True,0.2065954896808208,0.0,19.0,2.701276315575949,24.701000000007205,False
150.0,-x,1,ok,49.5337347984314,True,True,True,0.227650463328804,1.73,17.0,3.095900377260652,-1.0,True
150.0,-x,2,ok,51.93169689178467,True,True,True,0.18002929247443888,0.0,16.0,3.2632464298684245,-1.0,True
150.0,-x,3,ok,49.011475801467896,True,True,True,0.18600588244310315,0.0,13.0,2.834148315764377,24.586000000007065,False
150.0,-x,4,ok,50.97695469856262,True,True,True,0.24729184251610872,0.0,12.0,3.6205639876959235,-1.0,True
150.0,-x,5,ok,51.909615993499756,True,True,True,0.26294098618715556,0.0,16.0,3.278359383703817,-1.0,True
150.0,-x,6,ok,60.833216428756714,True,True,True,0.29084972573993817,0.0,13.0,3.666811319551367,-1.0,True
150.0,-x,7,ok,51.77326774597168,True,True,True,0.2740163198338483,0.0,13.0,3.545215234857554,-1.0,True
150.0,-x,8,ok,27.911396503448486,True,True,True,0.19770631764704832,0.0,15.0,1.5007604775702428,13.031999999998217,False
150.0,-x,9,ok,54.57927870750427,True,True,True,0.20595377116626212,0.274,13.0,3.6062163664568536,-1.0,True
200.0,-x,0,ok,51.37390470504761,True,True,True,0.17692837591840818,0.0,12.0,3.5788032945726473,-1.0,True
200.0,-x,1,ok,15.374584913253784,True,True,False,1.0038072401307376,nan,1.0,0.18217490074038276,6.876000000000631,False
200.0,-x,2,ok,51.94934606552124,True,True,True,0.24258540125448172,0.0,15.0,3.6312217709622345,-1.0,True
200.0,-x,3,ok,43.94735336303711,True,True,True,0.21611722514043533,0.0,10.0,2.08325396554163,18.972000000000204,False
200.0,-x,4,ok,57.00473690032959,True,True,True,0.19146758469291902,0.0,14.0,3.4868223689592694,-1.0,True
200.0,-x,5,ok,68.83906769752502,True,True,True,0.2115619152724111,0.0,14.0,3.6792317761352833,-1.0,True
200.0,-x,6,ok,65.08199787139893,True,True,True,0.188164893786127,0.0,13.0,3.5339436901995684,-1.0,True
200.0,-x,7,ok,57.67816114425659,True,True,True,0.22278113109212105,1.344,25.0,2.752249713608197,-1.0,False
200.0,-x,8,ok,19.0932834148407,True,True,False,0.9046288040642975,1.53,8.0,1.054238514227671,8.386000000000791,False
200.0,-x,9,ok,58.84202003479004,True,True,True,0.19116853409525714,0.28200000000000003,15.0,3.418002560813062,-1.0,True
250.0,-x,0,ok,20.241854429244995,True,True,False,0.8930852360791454,0.0,9.0,1.1575339670434968,8.842000000000539,False
250.0,-x,1,ok,14.90440058708191,True,True,False,0.9973591567196759,nan,3.0,0.13550657822057605,6.538000000000518,False
250.0,-x,2,ok,25.338480234146118,True,True,True,0.17594417768090115,0.0,9.0,1.6119510850508,11.146999999999261,False
250.0,-x,3,ok,53.54018473625183,True,True,True,0.17880759302035773,0.0,18.0,3.4693224532447964,23.931000000006264,False
250.0,-x,4,ok,52.32784628868103,True,True,True,0.18171164004832968,0.0,15.0,3.2659391116036343,-1.0,True
250.0,-x,5,ok,43.110745429992676,True,True,True,0.2887216514119913,0.0,19.0,3.2083242922430997,23.998000000006346,False
250.0,-x,6,ok,47.02687859535217,True,True,True,0.1858306905285891,0.0,14.0,3.396924215066058,-1.0,True
250.0,-x,7,ok,47.5224814414978,True,True,True,0.22722987033185463,2.011,14.0,3.5381410805256492,-1.0,True
250.0,-x,8,ok,48.96129298210144,True,True,True,0.22936892632094374,1.752,12.0,3.7726040823423665,-1.0,True
250.0,-x,9,ok,13.362740516662598,True,True,False,1.0256471195856396,nan,1.0,0.23657784512502478,6.986000000000668,False
300.0,-x,0,ok,45.5754029750824,True,True,True,0.17239767188484026,1.522,16.0,3.370289466414995,-1.0,True
300.0,-x,1,ok,12.301339864730835,True,True,False,1.0436555942671368,nan,2.0,0.12323336484568878,6.348000000000455,False
300.0,-x,2,ok,13.934025764465332,True,True,False,1.0262450973414121,0.0,3.0,0.30081337288803484,7.2010000000007395,False
